,Lower95,Median,Upper95,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.10,psrf,phase,
rho,0.40260149,0.774429721,0.999941273,0.741975286,0.177321719,NA,0.000891595,0.5,39554,0.002095605,1.000055145,1,
mu[1],-0.88688131,0.041998296,0.857070581,0.014533314,0.448975709,NA,0.00223655,0.5,40298,0.002209438,1.000079344,1,1.042892702
mu[2],2.900294061,3.066894769,3.228077147,3.065075162,0.083326736,NA,0.000416817,0.5,39965,0.001744102,1.00001395,1,21.47511384
sigma[1],0.364797067,1.200758922,4.425496124,1.76641118,2.99598517,NA,0.014917408,0.5,40336,-0.003703288,1.00003065,1,
sigma[2],0.36553577,1.202582267,4.423615534,1.772313813,2.9856324,NA,0.015108327,0.5,39052,-0.000312346,0.999984064,1,
prec[1],8.80E-06,0.693566895,3.0453818,1.006832223,1.012167043,NA,0.005001086,0.5,40961,-0.001055639,1.00003065,1,
prec[2],1.78E-05,0.69146533,3.017115476,1.004624539,1.011517825,NA,0.005057589,0.5,40000,0.002708804,0.999984064,1,
rate_ratio,11.14739171,20.52424535,48.03858008,22.77130892,9.704295318,NA,NA,NA,NA,NA,NA,1,
rho1,0.008445125,0.309059696,0.73319382,0.339345476,0.193985657,NA,0.001526407,0.8,16151,0.183512681,1.000065931,2,
mu[1]1,3.001666366,3.135129331,3.27950869,3.13706925,0.07117022,NA,0.000461268,0.6,23806,0.082464493,1.000008166,2,
mu[2]1,-1.439810657,-0.292395486,0.768873793,-0.317326363,0.566390592,NA,0.003779982,0.7,22452,0.098429658,1.000073576,2,22.99160917
sigma[1]1,0.353788218,1.195719887,4.416102229,1.752940097,2.756563112,NA,0.013790284,0.5,39957,0.002983749,0.999975829,2,0.746473258
sigma[2]1,0.389102669,1.19821137,4.444677969,1.807630726,7.323837042,NA,0.037663114,0.5,37813,-0.00010286,1.000138109,2,
prec[1]1,3.56E-05,0.699424909,2.96095583,0.999369838,0.999075616,NA,0.004995378,0.5,40000,0.001440439,0.999975829,2,
prec[2]1,5.99E-07,0.696519257,2.969649449,0.997975921,0.989033829,NA,0.004984791,0.5,39367,-0.00016001,1.000138109,2,
rate_ratio1,0.013386034,0.032362903,0.077550546,0.03570657,0.017242042,NA,NA,NA,NA,NA,NA,2,
rho2,-0.125018055,0.490656734,0.999868793,0.458994443,0.322165926,NA,0.001621264,0.5,39487,0.001537998,1.000003599,3,
mu[1]2,-1.41917092,-0.440096508,0.481472005,-0.450218405,0.486083369,NA,0.002431647,0.5,39960,0.003960192,0.999996764,3,
mu[2]2,3.111873876,3.256742352,3.383194281,3.253809369,0.068133001,NA,0.000340916,0.5,39941,0.000981188,0.999970314,3,0.643974269
sigma[1]2,0.380216969,1.200205507,4.471082661,1.782614916,2.992649601,NA,0.015536219,0.5,37104,0.000497075,1.000046376,3,25.96481498
sigma[2]2,0.354320165,1.200788953,4.408522962,1.783941493,2.835681819,NA,0.014178409,0.5,40000,-0.003206464,1.000063011,3,
prec[1]2,1.96E-05,0.694206653,3.012372784,1.000485043,1.004110669,NA,0.004959861,0.5,40985,-0.001482268,1.000046376,3,
prec[2]2,6.62E-05,0.693532205,3.008997787,0.999074636,1.001005664,NA,0.005005028,0.5,40000,-0.003160145,1.000063011,3,
rate_ratio2,19.83661905,40.26973625,96.35592313,44.61618153,20.16764286,NA,NA,NA,NA,NA,NA,3,
